Title,Publication Year,Journal Name,DOI
Characterization of the urban heat Island effect from remotely sensed data based on a hierarchical model,2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100184
"Attributing climate variability, land use change, and other human activities to the variations of the runoff-sediment processes in the Upper Huaihe River Basin, China",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101955
Can temperature be a low-cost tracer for modelling water age distributions in a karst catchment?,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131947
Vulnerability indicators of seawater intrusion in offshore aquifers,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.132004
"Does afforestation increase soil water buffering? A demonstrator study on soil moisture variability in the Alpine Geroldsbach catchment, Austria",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131984
Microbial community structure and function in a sandy soil column under dynamic hydrologic regimes,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131797
Numerical optimisation of microbially induced calcite precipitation (MICP) injection strategies for sealing the aquifer's leakage paths for CO<inf>2</inf> geosequestration application,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104800
Sub-core permeability estimation from coreflooding experiments: Numerical analysis for evaluating accuracy and improving methods,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104817
Characterizing the uncertainty of CMORPH products for estimating orographic precipitation over Northern California,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131921
Real-time two-dimensional visualization reveals the transport mechanisms of biochar colloids in the presence of DOM in porous media,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.132017
Flow velocity determines detritus availability and microbial food web patterns in a river confluence,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131987
Dynamic interactions between groundwater level and discharge by phreatophytes,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104814
Quantifying the effect of salinity on dielectric-based soil moisture measurements using COSMOS records,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131925
Improving sub-seasonal extreme precipitation forecasts over China through a hybrid statistical-dynamical framework,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131972
"Parallelization of particle-mass-transfer algorithms on shared-memory, multi-core CPUs",2024,Advances in Water Resources,10.1016/j.advwatres.2024.104818
"Evolution characteristic and mechanism of microstructure, hydraulic and mechanical behaviors of sandstone treated by acid-rock reaction: Application of in-situ leaching of uranium deposits",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131948
Precipitation measurements experiment using microwave links in Eastern China from October 2020 to March 2022,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131922
"Distributed modelling of snow and ice melt in the Naltar Catchment, Upper Indus basin",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131935
Pore network models to determine the flow statistics and structural controls for single-phase flow in partially saturated porous media,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104809
"A general unit hydrograph theory for water level and tidal range distributions in the Modaomen Estuary, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131933
Digital rock reconstruction enhanced by a novel GAN-based 2D-3D image fusion framework,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104813
Theoretical and earthquake-induced groundwater chemistry changes: A perspective,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131917
Mechanically and accurately calculate river width in vegetation areas by coupling Sentinel-1 and -2 imageries within land-water-mixed pixels,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131913
A Coupled Human and Natural Systems (CHANS) framework integrated with reinforcement learning for urban flood mitigation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131918
Snow simulation for the rangeland hydrology and erosion model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131934
Adjoint-based sensitivity analysis and assimilation of multi-source data for the inference of spatio-temporal parameters in a 2D urban flood hydraulic model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131885
Comparing evaporation from water balance framework and multiple models on a global scale,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131924
Critical assessment of the validity of quasi-static pore network modeling in the application of underground hydrogen storage,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104812
A computationally efficient queue-based algorithm for simulating volume-controlled drainage under the influence of gravity on volumetric images of porous materials,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104799
Time-varying parameters of the hydrological simulation model under a changing environment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131943
Comparison of methods measuring electrical conductivity in coastal aquifers,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131905
High-frequency spatial sediment source fingerprinting using in situ absorbance data,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131930
Examining relations between sea-level anomalies in the Niño 3.4 region and terrestrial hydroclimatic conditions in China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131942
Improving evapotranspiration partitioning by integrating satellite vegetation parameters into a land surface model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131928
Conjunctive optimal design of water and power networks,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131932
A multi-objective operation optimization method for dynamic control of reservoir water level in evolving flood season environments,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131940
Season-dependent climate sensitivity of the surface runoff of major rivers in Changbai Mountain,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131936
Hydro-morphology and water quality jointly shape the structure and network stability of the plankton community in multi-tributary river basins,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131945
"Modeling the impact of long-term land use changes on deep soil hydrological processes in the Loess Plateau, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131944
Effects of grid resolution on regional modelled groundwater salinity and salt fluxes to surface water,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131915
Enhanced runoff simulation by precise capture of snowmelt variation signals with satellite-based snow products in a high-elevation basin,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131920
Optimizing parameter learning and calibration in an integrated hydrological model: Impact of observation length and information,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131889
Real-time regulation of detention ponds via feedback control: Balancing flood mitigation and water quality,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131866
Two-dimensional distribution of arsenic species in the riparian zone regulated by As-Fe co-transformation under varying river water proportions and bicarbonate concentrations,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131919
Dam-Break waves over mobile bed,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104801
"Quantifying the effects of direct human activities and climate change on the spatial propagation of hydrological drought in the Yellow River Basin, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131931
Nutritional status of the reservoir tributary backwater area and implications for nutrient control,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131926
Improving streamflow forecasting in semi-arid basins by combining data segmentation and attention-based deep learning,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131923
Dynamics of the risk of algal blooms induced by surface water temperature in an alpine eutrophic lake under climate warming: Insights from Lake Dianchi,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131949
Unexpected hydrologic response to ecosystem state change in tallgrass prairie,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131937
Analytical model for two-dimensional contaminant transport in a cut-off wall and aquitard system,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131951
Modeling fluid flow in heterogeneous porous media with physics-informed neural networks: Weighting strategies for the mixed pressure head-velocity formulation,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104797
Seasonal changes of dissolved CO<inf>2</inf> and its linkage with optical characteristics of DOM in groundwater in agricultural areas,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131927
Optimization of soil hydrological properties in degraded grasslands by soil amendments,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131946
Finite difference solution for contaminant transport through a GCL composite cutoff wall-aquifer system considering semipermeable membrane effect,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131950
Investigation of turbulence and interfacial exchange features of the gap area within the fully developed Shallow-Submerged canopy flow,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131938
Quantitative analysis of the sensitivity and spatial stratified heterogeneity of extreme precipitation across river basins,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131939
Precipitation sensitivity of vegetation growth in southern China depends on geological settings,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131916
Fluid–rock interaction controlled by integrated hydrothermal fluid and fault: Implications for reservoir development,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131793
Generating interpretable rainfall-runoff models automatically from data,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104796
Impact of coagulation characteristics on the aggregation of microplastics in upper-ocean turbulence,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104798
Interface and mixing zone between soil waters arising from upward and downward seepage - Part II: Heterogeneous total density.,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104794
"Improved identification and monitoring of meteorological, agricultural, and hydrological droughts using the modified nonstationary drought indices in the Yellow River Basin of China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131788
"Assessing sources of nutrients in small watersheds with different land-use patterns using TN, TP, and NO<inf>3</inf><sup>-</sup>-N",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101958
Runoff concentration decline for Tarim river due to a dramatic increasing of runoff in cold season and hydro-junction regulation: Past and future,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101962
"Dynamics of soil water, temperature, and salt and their coupled effects in Haloxylon ammodendron forests of different ages in an arid desert oasis ecotone",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101965
The Impact of water marketization mechanisms on improving water use efficiency: An empirical study from water rights trading in China,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101957
"Integrated operation of sand dam and groundwater dam to increase water supply capacity in mountainous areas of Chuncheon, South Korea",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101959
Paleohydrology repeating? Regional hydrological change may lead to an overflow and cross-mixing of an alkaline and a freshwater lake in East Africa,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101951
Testing trends in gridded rainfall datasets at relevant hydrological scales: A comparative study with regional ground observations in Southern Italy,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101950
Reservoir dominated spatio-temporal changes of the surface water area in the Yangtze River Basin during past three decades,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101948
"Expert-based prior uncertainty analysis of gridded water balance components: Application to the irrigated Hindon River Basin, India",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101935
Estimation of seasonal precipitation memory curves for major rivers in the Tibetan Plateau based on GRACE satellites data,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101942
Asynchronous recovery of evaporation and transpiration following extreme snow damage in a subtropical forest,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101947
Geospatial stable isotopes signatures of groundwater in United Arab Emirates using machine learning,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101938
Responses of hydrological processes to vegetation greening and climate change in subtropical watersheds,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101946
Estimation of design precipitation using weather radar in Germany: A comparison of statistical methods,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101952
The added value of CoreVESS score and penetration resistance in predicting the soil–water retention curve,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131821
A multi-variable calibration framework at the grid scale for integrating streamflow with evapotranspiration data to improve the simulation of distributed hydrological model,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101944
Influence of grazing management strategy and data time scales on estimates of sensible heat flux in grasslands,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101949
Drought prediction in Jilin Province based on deep learning and spatio-temporal sequence modeling,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131891
Interface and mixing zone between soil waters arising from upward and downward seepage - Part I: Homogeneous total density,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104793
Intelligent enhanced particle filter with deep residual network surrogate for accurate groundwater pollution source characterization,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131904
Urban pluvial flood susceptibility mapping based on a novel explainable machine learning model with synchronous enhancement of fitting capability and explainability,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131903
Weaving different forms of knowledge of managed aquifer recharge in a Saharan oasis (Algeria),2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131895
A time-space varying distributed unit hydrograph (TS-DUH) for operational flash flood forecasting using publicly-available datasets,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131785
Multi-year climate memory in shallow lake water levels,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131764
Impacts of climate and land-use change on flood events with different return periods in a mountainous watershed of North China,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101943
"The changing rainfall patterns drive the growing flood occurrence in Phnom Penh, Cambodia",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101945
"Integrated Airborne Geophysical Data for Mapping Saltwater in the Mississippi River Valley alluvial Aquifer, Northeast Louisiana",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131877
Stronger influences of grassland growth than grassland area on hydrological processes in the source region of the Yellow River,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131886
What controls hydrology? An assessment across the contiguous United States through an interpretable machine learning approach,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131835
Aquifer system deformation in the San Luis Valley: A new framework for modeling subsidence in agricultural regions,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131876
The reconstructed solar-induced chlorophyll fluorescence dataset reveals the almost ubiquitous close relationship between vegetation transpiration and solar-induced chlorophyll fluorescence,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131883
Real-time integrated water availability – Salt intrusion modelling and management during droughts,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131894
Changes in compound temperature and precipitation extremes from combined effects of multiple circulation factors over China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131884
Revisiting evapotranspiration inputs in eco-hydrological modeling for climate change assessment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131888
Predicting compound agricultural drought and hot events using a Cascade Modeling framework combining Bayesian Model Averaging ensemble with Vine Copula (CaMBMAViC),2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131901
An integrated adaptive allocation model for unified optimization of conventional and unconventional water resources based on fairness and efficiency,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131899
An ensemble-based projection of future hydro-climatic extremes in Iran,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131892
Investigation of anchor ice evolution in rivers and the impact of hydrometeorological conditions,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131851
Drought Awareness over Continental United States,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131868
Spatial and temporal variability of meteorological droughts including atmospheric circulation in Central Europe,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131857
Physics-informed geostatistical approach (PIGA) for real-time fluvial flood modeling,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131878
Paradox of lake nitrogen concentration change response to watershed management: Case study of China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131900
Possible explanations for the “Matthew effect” of rainfall in the Beijing-Tianjin-Hebei metropolitan area,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131880
"Hydrodynamic reconstruction of the paleoflood from the Early Holocene ice-dammed lake Nedre Glomsjø, Norway",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101937
Incorporation crisis lifecycle theory into full-stage flash drought spatio-temporal pattern identification and risk analysis,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131828
Developing a flood risk assessment model with genetic algorithm-based weights,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131902
Experimental and numerical investigation of the effect of air injection on seawater intrusion mitigation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131850
Intensified carbonate weathering during storm events in a highly-erosion river catchment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131860
Unraveling microbial community variation along a salinity gradient and indicative significance to groundwater salinization in the coastal aquifer,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131893
Sensitivity analysis of SWAT streamflow and water quality to the uncertainty in soil properties generated by the SoLIM model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131879
Quantifying the warming-induced impact of glacier storage change on runoff using Budyko framework: A case study in the Tarim River basin,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101936
Improving flood forecast accuracy based on explainable convolutional neural network by Grad-CAM method,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131867
"Spatio-temporal variations and multi-scale correlations of climate, water, land, and vegetation resources over the past four decades in the Heihe River Basin",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101941
Characterizing multifarious hydroclimatic patterns using geodetic measurements in the Australian mainland,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131792
Mechanism underlying revetment effects on the spatial distribution of nitrogen removal and N<inf>2</inf>O emissions in riparian zones at summer,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101940
How vertical drainage positions of extensive green roofs affect the runoff control performance,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131855
Semi-analytical solutions for land subsidence due to groundwater withdrawal,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131813
"Predictive capabilities, robustness and limitations of two event-based approaches for lag time estimation in heterogeneous watersheds",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131814
Improved water use efficiency of vegetation due to carbon fertilization not translating to increased soil moisture in India,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131890
Effects of building configuration and upstream buildings on pedestrian risk around ideal buildings in a floodwater–wind joint environment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131865
Revisiting the global distribution of the exponent of the power-function complementary relationship of terrestrial evaporation: Insights from an isenthalpic index,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131864
"The streamgauging ruler: A low-cost, low-tech, alternative discharge measurement technique",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131887
Thermokarst landslides susceptibility evaluation across the permafrost region of the central Qinghai-Tibet Plateau: Integrating a machine learning model with InSAR technology,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131800
Spatio-temporal variability of soil water content across plot scales within a vineyard,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131882
Rainfall event separation and determination of the water quality volume,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131881
Runoff simulation modeling method integrating spatial element dynamics and neural network for remote sensing precipitation data,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131875
Replication of soil analogues at the original scale by 3D printing: Quantitative assessment of accuracy and repeatability of the pore structural heterogeneity,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104795
Large-sample detection of reservoir impacts on flow regime alteration through improved paired-catchment approach,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131872
Dam regulation alters the spatio-temporal delivery of organic carbon along the Yellow River,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131838
Cryogenic vacuum distillation vs Cavitron methods in ecohydrology: Extraction protocol effects on plant water isotopic values,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131853
Application of weather post-processing methods for operational ensemble hydrological forecasting on multiple catchments in Canada,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131861
A hybrid surrogate model for real-time coastal urban flood prediction: An application to Macao,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131863
Trivariate copula functions for constructing a comprehensive atmosphere-land surface-hydrology drought index: A case study in the Yellow River basin,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131784
Steady-state semi-analytical solutions for assessing the two-dimensional groundwater hydraulic head depletion induced by river dam removal,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131801
PML_30: A high resolution (30 m) estimates of evapotranspiration based on remote sensing model with application in an arid region,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131862
A framework for using event evolutionary graphs to rapidly assess the vulnerability of urban flood cascade compound disaster event networks,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131783
"Rainfall and water level fluctuations dominated the landslide deformation at Baihetan Reservoir, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131871
Can rock surface flow derived from outcrops generate surface runoff in a rocky desertified area?,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131897
"Isotopic characteristics of extreme “dragon-boat water” rainfall between mid-May and mid-June in 2022 in Fuzhou, southeastern China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131870
Breaking the mold of simulation-optimization: Direct forward machine learning methods for groundwater contaminant source identification,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131759
Multi-dimensional equilibrium optimal allocation of water resources in Beijing-Tianjin-Hebei region through spatial association network analysis,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131826
"Exploring the influence of urban agglomeration on extreme precipitation: Evidence from the middle reaches of the Yangtze River, China",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101932
In-situ study of CO<inf>2</inf>-saturated brine reactive transport in carbonates considering the efficiency of wormhole propagation,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104792
Quantifying the effects of climate and environmental changes on evapotranspiration variability in the Sahel,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131874
Effects of vegetation types on soil wetting pattern and preferential flow in arid mountainous areas of northwest China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131849
Characterizing coastal aquifer heterogeneity from a single piezometer head chronicle,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131859
Trend and inter-annual variability in regional climate models – Validation and hydrological implications in southeast Australia,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131817
Empirical formulas for dynamic effective suction head in the modified green-ampt model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131820
The effect of dynamic changes in vegetation coverage on the mechanism of organic carbon loss in inter-rill erosion,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131848
Electrokinetic-enhanced sulfuric acid leaching of uranium from sandstone uranium ores,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131869
Combined effects of layered heterogeneity and cutoff wall on groundwater salinization caused by storm surge inundation: Numerical simulations,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131810
"Application of surface geophysical investigations and pumping test data analysis for better characterization of aquifer hydraulic parameters, Upper Awash Sub-Basin, Central Ethiopia",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101933
Groundwater monitoring infrastructure: Evaluation of the shallow urban and coastal network in Ōtautahi Christchurch,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101934
Identification of propagation characteristics from meteorological drought to hydrological drought using daily drought indices and lagged correlations analysis,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101939
Increasing vulnerability of vegetation to Meteorological and Groundwater drought: A Case study in Argentina,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101931
Resolving pore-scale concentration gradients for transverse mixing and reaction in porous media,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104791
Combining global precipitation data and machine learning to predict flood peaks in ungauged areas with similar climate,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104781
Development of a conceptual regional industrial water use efficiency model driven by economic development level,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101926
Using a comparative of DRASTIC and Bayesian weights of evidence approach to assess transboundary aquifer vulnerability in a data scarcity region: Tuli-Karoo aquifer,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101930
Recursive analytical solution for nonequilibrium multispecies transport of decaying contaminant simultaneously coupled in both the dissolved and sorbed phases,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104777
Nonmodal stability analysis of Poiseuille flow through a porous medium,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104783
Assessing spatiotemporal dynamics of water use efficiency in ecologically vulnerable karst landscapes,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101916
"Application of gravity recovery and climate experiment data and ensemble modeling to assess saltwater intrusion in the Miandoab coastal aquifer, Iran, under climate change",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101929
A new fractal pore-throat chain model for non-Darcy flow through porous media,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104782
Revealing lake dynamics across the Amur River Basin over the past two decades using multi-source remote sensing datasets,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101928
Revealing the intricate relationship: Droughts and typhoons in Taiwan using the Standardized Precipitation Index (SPI),2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101917
"Beyond dams: Assessing integrated water storage in the Shashe catchment, Limpopo River Basin",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101913
"Integrated assessment of the impacts of climate and land-use changes on future flooding and effective adaptation in the Gin River Basin, Sri Lanka",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101919
Coupling Upscaled Discrete Fracture Matrix and Apparent Permeability Modelling in DFNWORKS for Shale Reservoir Simulation,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104776
Retrieval of spectral slope of chromophoric dissolved organic matter (S<inf>275–295</inf>) in Laptev Sea,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101924
Assessing the impact of river changes on flood regulation capacity using a coupled flood model in an urbanized plain river network region,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101925
Singular value decomposition for single-phase flow and cluster identification in heterogeneous pore networks,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104779
