Question,Answer
"Total dissolved solids (TDS) concentrations in surface waters are influenced by various factors, including __________ and __________.",climate variability; human water use
"The mobility of arsenic in riverbank sediments is influenced by the chemical stability of ________ oxides, which can act as either a sink or source of dissolved arsenic.",Fe(III)
The prime driver of flood magnitude variation in the Yellow River Basin was identified as the consecutive __________ total precipitation.,144-day
Plants employing a drought-avoiding strategy tend to maximize __________ and minimize vegetation water stress.,soil moisture
The noble gas _______ is a unique identifier of deep groundwater discharge due to its enrichment in groundwater with long residence times.,helium
"The factors influencing groundwater potential zones include geomorphology, land use/cover, lithology, soil type, drainage density, soil texture, slope, lineament, rainfall, and ________.",elevation
"The coexistence of helium-4, tritium, and radiocarbon in groundwater samples suggests that there is a mixture of water with __________ and __________ fractions.",young; old
Groundwater stress occurs when water extraction exceeds __________ to the corresponding aquifer over a given period.,recharge
The majority of submarine groundwater discharge (SGD) in a till-dominated coastal aquifer is expected to originate from which subcatchment area?,The subcatchment immediately surrounding the harbour.
The Drought Hazard Index (DHI) is derived based on the probability of drought occurrence and __________ using Standardized Precipitation Index (SPI) and Effective Drought Index (EDI).,Thiessen polygons
The process by which water from precipitation moves through the unsaturated zone into the groundwater domain is known as ________.,recharge
The water-energy-food-environment (WEFE) nexus framework is essential for understanding the interconnections between which four sectors?,"Water, energy, food, and environment."
"The highest groundwater potential zones in a region can be attributed to factors such as geology, lineament density, and __________.",rainfall
Future climate change scenarios suggest that global breadbaskets in temperate zones of higher latitudes will likely experience increased __________ and higher crop yields.,precipitation
The average annual total detained flood volume of lake-reservoir groups in various basins can be estimated using a _______ model.,runoff-weighted
The presence of non-marine brackish to saline groundwaters in the crystalline bedrock is indicated by the evidence of ___________ residence times and complex mixing events resulting from various water recharge processes.,very long
"Intercomparison studies of hydrological models are often limited to well-behaved hydrological regimes, where __________ processes dominate the hydrological response.",rainfall-runoff
The main source of diffuse nitrate pollution affecting groundwater resources is primarily related to __________ activities and untreated civil/industrial effluents.,agricultural
"The study of urban water supply in cities experiencing rapid urbanization often focuses on the partitioning of drinking water sources such as __________, surface water, and groundwater.",precipitation
"The sources of groundwater beneath the Osaka Plain were categorized into two freshwater and three saline water end-members, including modern local meteoric water and __________ that is more depleted in δ18O and δ2H.",fossil freshwater
"Wetlands play a significant role in reducing flood risk by storing and holding flood water as part of a nature-based solution (NbS), but their effectiveness can be limited due to __________.",rapid degradation and insufficient storage capacity.
The method proposed to quantify groundwater memory serves as a basis for characterizing the intrinsic susceptibility of groundwater to __________.,drought
"Groundwater-mediated terrestrial carbon inputs play a critical role in shaping riverine carbon cycling, water quality, and overall ecosystem _______.",health.
The framework that combines process-based hydrological models with Stochastic Storm Transposition techniques to conduct flood frequency analysis is referred to as _____.,FFA-SST
"Reliable precipitation estimates are crucial for planning and managing _________, monitoring hydrologic extremes, and fulfilling irrigation water requirements.",water resources
The method used to downscale GRACE-derived Terrestrial Water Storage Anomalies (GRACE-TWSA) to a finer resolution involves integrating Hydrological Response Units (HRUs) with what type of artificial intelligence model?,Artificial Neural Networks (ANN)
The future water stress index (WSI) is projected to increase by about _____% even when considering the South-to-North water diversion project.,30
Cation exchange and leakage are dominant processes that influence salinity and ________ concentrations in coastal aquifers.,strontium
Groundwater characterized with decadal and longer water ages plays a critical role in hydrologic and mass-transport processes within __________ environments.,mountainous
The spring drought in Taiwan has significant implications for local socio-economic conditions and is particularly critical due to its role in __________ manufacturing.,semiconductor
Hyporheic flow occurs in the shallow zone where river flow interacts with __________ flow.,groundwater
The approach developed for forecasting streamflow and groundwater levels integrates a modified hydrological model into a __________ framework.,statistical-dynamical
The rigid ecological water requirement is approximately ____ times higher than the actual usage in certain regions.,1.35
Streamflow prediction in ungauged catchments is considered a challenging task due to the lack of __________ data in many regions.,hydrological
The process of __________ refers to the movement of seawater into coastal aquifers due to various factors including groundwater depletion and saltwater intrusion dynamics.,seawater intrusion
Afforestation with longleaf pine typically leads to a ____ in mean annual streamflow due to increased evapotranspiration.,decrease
The new water allocation scheme aims to optimize the balance between water supply and __________ in arid regions.,demand
"The relationship between forest cover and catchment water storage is often described as __________, suggesting that higher forest cover is related to lower water storage capacities.",inversely correlated
The Range of Variability Approach (RVA) is used to analyze changes in the overall _______ regime of a river basin.,hydrological
Groundwater recharge in arid environments is often influenced by ________ events that can be sporadic and unpredictable.,episodic
Most watersheds experience human impacts that modify hydrological responses differently over a range of __________.,timescales.
The comprehensive evaluation framework proposed for assessing groundwater drought vulnerability is based on the groundwater drought vulnerability index (____).,GDVI
The primary factor affecting natural runoff change in the Yiluo River Basin is __________.,climatic variation.
The improved WEAP model integrates regional and industrial water distribution priority determined by __________.,water supply safety.
"Water allocation models (WAM) are important tools for managing the complex interactions between ________, water supply, water demand, and water rights structure.",water infrastructure
The main factors contributing to groundwater degradation in coastal areas include seawater intrusion and __________ contamination from agricultural activities.,anthropogenic
"The hydrological connectivity in a watershed can be affected by changes in __________, which can lead to fluctuations in water supply and ecosystem stability.",rainfall
The novel method proposed for estimating river width in vegetation areas is called ________.,RW-vebasud
Evapotranspiration calculated as the residual of catchment water balance is referred to as ________.,ETWB
Seasonal variability of meteorological forcing significantly affects the ________ response in forested mountain catchments.,hydrological
The average propagation time from meteorological to agricultural drought in the Yangtze River Basin is ____ days.,48
The optimal spatial scale for flood verification using IoT sensors is generally identified as _______ meters across various regions.,450
The Fractionally differenced Autoregressive Integrated Moving Average (FARIMA) model is used to analyze the _________ structure of streamflow in watersheds.,statistical
The specific yield of an unconfined aquifer is estimated using the relationship between changes in groundwater storage and changes in __________.,groundwater level.
The Nubian Aquifer System (NAS) is primarily composed of the Nubian sandstone aquifer (NSA) and the ________ which overlies it in the northern portion of the basin.,Post Nubian limestone aquifer (PNLA)
"Bofedales, or peat-forming wetlands, play a significant role in regulating drainage from the humid puna to downstream communities by contributing to __________ during the dry season.",baseflow
"The DD-XAJ model, which was improved to consider ice and snow thawing, primarily utilizes a __________ model for calculating snow and ice melt based on temperature data.",degree-day
Understanding hydrological variability is crucial for __________ management in sub-Saharan Africa.,water resource
The evaluation of gridded meteorological datasets in hydrological modeling is essential due to the limited availability of __________ data in many regions.,hydro-meteorological
"Agricultural drought (AD) poses a serious threat to national food security, however, responses to AD to meteorological drought (MD), factoring in influences of climate change and ________ activity, are not well understood.",human
"The total annual water storage in the Shashe catchment is approximately ________ Mm3, with groundwater being the dominant component.","44,000"
"The Standardized Groundwater Index (SGI) and the Standardized Precipitation Index (SPI) are used to analyze __________ and __________ droughts, respectively.",groundwater; meteorological
The hydrological regulation function of glaciers is strongly correlated with their ________ in river basins.,ratio
The ________ index is used to assess the fluctuations in groundwater levels in response to precipitation in hydrological studies.,standardized precipitation
The degradation of __________ is projected to decrease the annual discharge in the Lhasa River Basin by a range of 20% to 39%.,permafrost
The socio-hydrological model developed for assessing water resource allocation incorporates feedback loops between _____ and _____ outcomes.,socio-economic; ecological
Groundwater extraction accounts for ______% of total water withdrawals globally.,35%
Saltwater intrusion poses a significant risk to coastal communities primarily because it affects their reliance on __________ as the main source of water supply.,fresh groundwater
Karst aquifers are particularly vulnerable to contamination due to their __________ sensitivity and high pollution risk.,contamination
The tail of streamflow distribution becomes heavier with increasing spatial rainfall variability only beyond a certain __________.,threshold.
"The use of stable isotopes in urban hydrology can provide insights into urban water cycling, storage, and losses, but their application remains challenging in ________ areas.",complex and heterogeneous
The accuracy of precipitation datasets based on satellite and reanalysis products is crucial for estimating river discharge using __________ modeling.,hydrological
"The GPR technique is built on the principle of __________, which is a stochastic process that simplifies multivariate Gaussian distribution to infinite-dimensional space.",Gaussian process
"Rainfall pattern III, characterized by high rainfall amount and erosivity within a short duration, accounted for only ___ of erosive rainfall events while yielding ___ of the total sediment.","15.0 %, 44.7 %"
"The framework proposed for assessing the influence of future environmental changes on hydropower generation and water supply benefits of cascade reservoirs consists of three main steps: developing a distributed Soil & Water Assessment Tool (SWAT) model, constructing the AquaCrop agricultural irrigation water demand model, and developing an optimal regulation model of cascade reservoirs in the ________ mainstream.",Yellow River Basin
The increase in winter river discharge in the Lena River basin is primarily linked to the increase in summer net precipitation and the thawing of __________.,permafrost
A dilution factor (DF) of greater than ______ is required for chemical concentrations from surface spills to not exceed ecotoxicological thresholds at the water table.,1000
The hydro-economic model developed for assessing drought adaptation integrates which two main components?,Hydrological and economic components.
The once-in-100-year flood magnitude in the Yellow River Basin increased from 125.0% under RCP2.6 to ________ under RCP8.5 during the long-term period.,204.9%
The average critical depth of the vertical transition zone between modern infiltration water and fossil groundwater is approximately _____ meters in China.,300
Water quality prediction is often limited by uncertainties in _______ and pollution sources.,parameters
The method that assumes nearby watersheds are hydrologically homogeneous and transfers parameters based on geographic distance is known as __________.,Spatial proximity (SP)
The predominant source of lacustrine groundwater discharge into Hulun Lake is from the __________ aquifer.,fractured bedrock
Hydrograph separation assessment is essential for understanding ________ generation in catchments worldwide.,stormflow
Increased discharge in the Yellow River Basin during the 21st century was primarily driven by __________ in the headwater region.,precipitation
DFEAT is a tool designed to characterize yearly drought features based on __________ time series.,daily soil water content
Approximately what percentage of glacier coverage in a catchment generates the majority of glacier runoff in glacierized regions?,51% glacier coverage generates approximately 76% glacier runoff.
The primary source of nitrate pollution in semiarid aquifers is often attributed to _______ and _______ due to excessive nutrient input from agricultural practices.,manure; sewage
The sediment delivery ratio (SDR) is defined as the ratio of sediment load in the channel to the ________ on the slope.,sediment yield
"Climate change is projected to increase __________ and __________ in the Dongjiang River Basin, leading to variations in the partition of precipitation to blue and green water.",precipitation intensity; temperature
"The annual average temperature and annual rainfall in the studied area increased significantly, while the potential evaporation showed a ________ trend.",decreasing
"Submarine groundwater discharge (SGD) is a crucial contributor to nutrient pathways in coastal ecosystems, including nutrients such as ammonium (NH4 +), nitrate and nitrite (NOx -), hydrogen silicate (HSiO3 -), hydrogen phosphate (HPO4 2-), and urea. The variability in nutrient inputs is influenced by ______ and ______.",SGD magnitudes; sources
"The forecasting of groundwater anomalies using advanced modeling techniques, such as recurrent neural networks, aims to address challenges associated with __________ in agricultural areas.",climate and land use change
"The process of partitioning precipitation into rain and snow in mountain basins is influenced by the __________, which is the elevation at which precipitation transitions from snow to rain.",rain-snow-transition elevation
The proposed multi-scale standardized drought-flood abrupt alternation index (MSDFAI) is designed to effectively avoid misjudgments and omissions in the assessment of drought-flood abrupt alternation events by introducing which key factor that was previously neglected in traditional indices?,alternation speed
"The recovery of discharge, vegetation productivity, and soil moisture after a hydrological drought can be explained by local __________ properties and characteristics.",catchment
"The spatiotemporal variations of water conservation in a region are influenced by factors such as precipitation, land use type, elevation, and ________.",slope
"A comprehensive drought index that integrates rainfall, temperature, runoff, and soil moisture is referred to as __________.",SPERSI
"The __________ memory curve (PMC) is a method used to describe the seasonal precipitation memory process, connecting precipitation with terrestrial water storage change (TWSC).",Precipitation
Hydrological models are evaluated by comparing simulated hydrological quantities with __________ quantities such as streamflow.,observed hydrological
"Precipitation uncertainties significantly impact __________ resource management, especially in high-altitudinal permafrost areas.",water
The analysis of strontium isotopes (87Sr/86Sr) in river water can be used to trace the source and transport of __________ in river systems.,suspended solids (SS)
"Blue water resources refer to free liquid water recharged by ______, lakes, and aquifers.",rivers
"Long-term drought can lead to substantial declines in groundwater recharge, evapotranspiration, and soil moisture, with reported decreases of over ___% in groundwater recharge during extreme drought years.",40
"A coupled flow routing model can effectively simulate hydraulic interactions in river systems characterized by changing backwater effects and seasonal water storage and release, which is essential for managing __________ and evaluating flood processes.",water resources
The loading effect induced by variations in phreatic level consistently amplifies the amplitude of head fluctuation in the underlying confined aquifer but weakens its __________ compared to the case where the loading effect is absent.,phase shift
The modeling results highlight that the water quality of the lake is closely associated with the internal hydrodynamic process driven by ________ and water level operation practices as well as external nutrient loads from upstream drainage areas.,wind
"Watershed models are essential for evaluating the impact of watershed management; however, they often contain many parameters that are not directly __________.",measurable
Groundwater recharge in mountainous permafrost regions is primarily influenced by __________ and __________.,snowmelt; glacier meltwater
"The driving factors for drought include precipitation (PRE), potential evapotranspiration, soil moisture (SM), and __________.",bare soil evapotranspiration (BSET)
The contraction of a freshwater lens on a barrier island is primarily influenced by ________ and ________ conditions.,drought; recharge
"The average concentrations of ammonia, total nitrogen, and total phosphorus in the core areas of a lake decreased by more than _____% under the optimal water replenishment scheme.",10
The most promising low-cost option to reduce sedimentation in irrigation schemes is __________ during the rainy season.,flushing
The quantification of blue water (BW) and green water (GW) is significantly influenced by the accuracy of __________ datasets.,precipitation
The occurrence of water scarcity can be exacerbated by uncoordinated water resources development between __________ and __________ regions within a basin.,upstream; downstream
"The Earth's Critical Zone (CZ) is primarily influenced by interactions between soil, weathered bedrock, and __________.",groundwater
The continuous development of river valley contraction (RVC) over time can significantly influence the ______ of a dam.,safety
The average annual soil retention increased by _____ after vegetation restoration since 1999.,84%
The model utilized to map groundwater potential zones is based on an artificial neural network and a specific optimization technique known as __________.,Mountain gazelle optimization (MGO)
"The electrical conductivity anomalies in groundwater can be attributed to the presence of __________ horizons and high salinity levels of chloride, sodium, and calcium.",anomalous electrical conductivity
Freshwater lakes in Ethiopia are facing threats from continued ecosystem degradation primarily due to __________ and __________ factors.,anthropogenic; natural
The Kalahari-Ohangwena 2 (KOH-2) aquifer is characterized by groundwater that is primarily _____ in nature.,freshwater
Meteorological factors influence the variations of runoff stable isotopes primarily by controlling the __________ process of runoff and the isotopic characteristics of recharge sources.,evaporation
Socio-hydrology aims to integrate __________ into the understanding of hydrological processes to enrich the analysis of water systems.,the social
"The average soil erosion rate, represented as A, for the Southern Gansu Plateau region was calculated to be ______ t·hm−2·a−1.",24.18 t·hm−2·a−1.
"Wildfires can lead to an increase in daily summer water temperatures in streams, typically ranging from ______ to ______ degrees Celsius over the subsequent three years.",0.3 to 1
The average annual precipitation in Phnom Penh has increased by approximately _____ mm per year over the past four decades.,7 mm/year
The projected increase in annual rainfall due to climate change in the Himalayan Mountainous Region of Bhutan is approximately _____ by the end of the century.,60%
The practice of reducing irrigation amounts during certain growth stages to conserve water while minimizing yield loss is known as __________.,deficit irrigation
"Hydrological models often struggle to accurately simulate streamflow during extreme events, including __________.",droughts
Successful Managed Aquifer Recharge (MAR) schemes in high-income countries tend to be large and utilize __________ water sources and sophisticated water injection methods.,natural
The main groundwater flow path under low precipitation intensity is primarily through the _______ medium.,lower porous
The Aral Sea basin is primarily affected by anthropogenic activities related to ________ which significantly impact the water cycle and agricultural productivity.,irrigation
The energy balance model PDSLIM is used to simulate the hydrological response of which geographical area known for its glaciers and snowmelt contributions to streamflow?,Naltar catchment
Active-distributed temperature sensing (A-DTS) combines fibre optic temperature measurements with an __________ to enable high-resolution quantification of water fluxes.,active heat source
"The three quantitative precipitation estimates (QPEs) evaluated in hydrological simulations are CGDPA, PERSIANN-CDR, and _________.",APHRODITE
"The seasonal origin of plant and soil water can be inferred by using stable isotope techniques, including the estimation of the evaporation line slope (SEL) and the calculation of the __________.",seasonal origin index (SOI)
The method that combines a stochastic hourly rainfall generator with a simplified hydrological model for estimating regional rainfall and flow quantiles is known as ________.,SHYREG
"Runoff generation thresholds can be influenced by the variability in catchment storage, soil moisture dynamics, and __________ characteristics.",rainfall
The primary factors affecting runoff variation in the Loess Plateau include climate change (CC) and _____________.,human activity (HA)
The construction of storage dams in vulnerable watersheds is proposed as a solution to mitigate the rise of __________ levels caused by flash floods.,groundwater
The incorporation of __________ in hydrological models is necessary for the accurate simulation of hydrological processes in agricultural catchments.,tile drainage
The presence of a Dense Reservoir Network (DRN) can lead to an increase in hydrological drought periods by accelerating the transition from meteorological to hydrological drought phases by ________ on average.,20%
The riverine flood potential index (FPI) is computed based on how many flood conditioning factors?,Eight flood conditioning factors.
"Fully distributed, integrated surface–subsurface hydrological models (ISSHMs) are valuable because they can resolve multiple processes defined on the plot scale including the three-dimensional interaction of surface water and __________.",groundwater
Rainwater harvesting can be used as a method to recharge ________.,aquifers
The total water supply gap in the Daqing River Basin is primarily supplemented by the overexploitation of __________.,groundwater
"The annual runoff in the Yarlung Zangbo River basin has shown a downward trend, primarily influenced by changes in __________.",precipitation
"The ability of an ecosystem to intercept, absorb, and store precipitation, thereby regulating surface runoff, soil water, and groundwater, is referred to as water __________.",conservation
The efficiency of blue and green water utilization in agricultural systems is significantly influenced by _______.,precipitation.
Overgrazing has a more significant impact on reducing runoff than __________ during the growing season.,climate change
"The model for runoff generation processes at the hillslope scale uses four conceptual interconnected reservoirs, which include interception storage, high permeability storage, soil matrix storage, and __________ storage.",ground water
"Water, energy, and food are interconnected through the concept of the __________ nexus, which highlights the competition for resources among these three sectors.",WEF (Water-Energy-Food)
The enrichment of geogenic ammonium (NH4 +) and phosphorus (P) in groundwater is closely linked to the _______ reactions associated with organic matter degradation.,redox
The methodology for setting an Environmental Flow regime (E-Flows) for rivers often relies on the analysis of ____________ to assess hydrological alterations.,Indicators of Hydrological Alteration (IHAs)
The ________ of water is crucial for understanding the transfer of water and contaminants through a catchment.,transit time
The maximum discharge of the 1374 flood event in the Rhine river was reconstructed using a __________ hydraulic modelling approach that combines both one-dimensional and two-dimensional components.,1D-2D coupled
The spatial distribution of surface water inputs (SWI) is primarily driven by __________ magnitude and the phase of precipitation.,precipitation
The increase of annual surface runoff in a river basin is predominantly explained by long-term changes in __________ and major land use change.,precipitation
The Thornthwaite and Mather (T-M) procedure has been adapted for sloping and mountainous regions by replacing the linear reservoir with a ________ aquifer.,zero-order
The process of analyzing the delay between meteorological drought and hydrological drought is known as ________ analysis.,lagged correlation
Flash droughts typically feature negative precipitation anomalies and positive anomalies in maximum temperature and __________ during their progression.,evapotranspiration
The Time-Space varying Distributed Unit Hydrograph (TS-DUH) is primarily developed for what purpose in hydrology?,Flash flood forecasting.
"The comprehensive values of water resources (CVWR) were proposed to address the _____ of water resources in a region, integrating social, economic, and eco-environmental benefits.",allocation
"The selection of __________ data is crucial for accurate runoff simulation in hydrological models, as it significantly influences the model's output.",meteorological
"Effective water resources management is essential for sustainable development, healthy ecosystems, and stable socio-economic conditions, but faces challenges due to the involvement of multiple ________ and uncertainties in various hydrologic fluxes.",stakeholders
The relationship that describes the sum of the nth power of the water supply ratio and that of the energy supply ratio to unity is known as the __________ relationship.,water-energy complementary
The basic flow method is used to determine the ________ needed to sustain the biological functioning of a river.,environmental flow
A significant increase in the number of days with intense rainfall in the Rift Valley region of Kenya was recorded at approximately _____%.,318%
The isotopic composition of sulfate in groundwater can help identify the origins of __________ contamination.,anthropogenic
The hydrological regime of Taihu Lake has been increasingly influenced by __________ activities over the past several decades.,anthropogenic
The unprecedented flooding in the Tarim River Basin in August 2022 was primarily driven by record-breaking persistently high ________ combined with heavy rainfall.,temperatures
"The London Basin contains two main aquifers of contrasting types: the Chalk, which is a fractured microporous limestone, and the __________, which is a porous sandstone.",Lower Greensand
The integrity failure of wells in gas resource developments poses a potential risk to groundwater resource quality and quantity by enhancing the connectivity and fluid migration between a gas reservoir and overlying __________.,aquifers
"The increasing evaporation in biocrusts is attributed to their higher fine particle content, lower bulk density, and greater __________.",water holding capacity.
The application of conservation funds to mitigate non-point source pollution from agricultural runoff is often challenged by the need for prioritizing multiple feasible types of __________.,best-management-practices
Hydrological modeling assumes that each catchment's response to precipitation input is __________.,unique
The operational rules of managed river systems are typically developed based on __________ hydrology.,historical
"Meteorological droughts are commonly characterized by the __________, which incorporates potential evapotranspiration to assess the climate water balance.",Standardized Precipitation-Evapotranspiration Index (SPEI)
The rise in the water level of Qinghai Lake since 2004 was primarily driven by increased __________.,runoff
The Standardized Precipitation Index (SPI) is primarily used to assess __________ conditions.,meteorological drought
The Model Agnostic Uncertainty Transfer (MAUT) method is primarily designed to facilitate uncertainty analysis in which type of hydrological regions?,High-latitude regions.
The construction of check dams has become an important measure for preventing and controlling _______ in the Loess Plateau.,soil erosion
The impact of cryosphere changes on runoff components in the Qilian Mountains includes an increase in total runoff in the URSLH and URHH basins and a decrease in the __________ basin.,URTLH
"Reservoir construction significantly alters the natural river flow regime by affecting the ______, frequency, timing, duration, and rate of change in flows.",magnitude
The largest component contributing to stream runoff in high mountain rivers is primarily __________.,snowmelt
The increase in impervious surface area in urban environments typically leads to an increase in __________ and __________ during rainfall events.,peak runoff; flooding volume
"The method used to identify relationships between shallow groundwater occurrences and their controlling factors includes extreme gradient boosting, support vector machine, and _______.",logistic regression.
Groundwater potential zones can be identified using models such as relative frequency ratio (RF) and __________ models.,Shannon entropy (SE)
"The interaction of multiple factors such as topography, storms, and urban drainage can lead to a compound disaster characterized by ________ and urban waterlogging during extreme rainfall events.",upstream floods
"Urbanization leads to the conversion of ________ surfaces to impervious ones, significantly altering the natural hydrological cycle.",pervious
The long-term mean suspended sediment yield in the Tijuana River is approximately _____ tons km−2 yr−1.,119 tons km−2 yr−1
The significant decrease in surface and subsurface runoff in a region can be primarily attributed to enhanced __________ due to revegetation and other human activities.,soil infiltration
The improved methodology for quantifying the impact of human activities on hydrological drought change focuses on enhancing the _________ method.,Slope Change Ratio of Cumulative Quantities (ISCRCQ)
Flood inundation forecast maps are essential tools for disaster management teams to plan and prepare for __________ events.,flood
An integrated model for optimal water resources allocation considers the framework of a complex adaptive system (CAS) and which other modeling approach to simulate the inner response of water user agents?,System dynamics (SD)
"The process of transferring clean water to a lake can significantly increase flow rate and decrease nutrient concentrations, but may not always result in a change in the lake's ________ quality level.",water
Multi-criteria model calibration can help reduce __________ compared to calibration based solely on streamflow data.,parameter uncertainty
Calibration toward ________ data has been shown to improve the discharge simulation and could help constrain the uncertainties of hydrological fluxes.,soil moisture
The method proposed to improve the estimation of terrestrial water storage changes in smaller basins is known as the __________.,Multi-Lagrange multiplier method (MLMM)
