Question,Answer
The __________ domain refers to the dominant structure and bulk of the soil.,matrix
__________ is the term for the downward movement of rainfall that transports compounds in solution within the soil.,Percolation
The presence of __________ matter in soil is important for various biological processes.,organic
The __________ curve describes the relationship between moisture content and tension head for a specific soil type.,suction–moisture
Infiltration capacity is the rate of __________ when the soil is filled to capacity with water.,infiltration
"The __________ method involves weighing a wet soil sample, drying it, and then weighing it again to determine water content.",gravimetric
The amount of water within a river or stream is referred to as ________.,streamflow
The volume of water over a defined time period is known as ________.,discharge
Hydrographs typically plot streamflow against ________.,time
The rising limb of a hydrograph represents the ________ part leading up to the peak flow.,initial steep
The time difference between the peak flow value and the rainfall event is called ________.,lag
The area under the curve above the baseflow line in a hydrograph represents the ________ volume.,stormflow
Overland flow is characterized as water that runs across the ________ of the land before reaching a stream.,surface
The hypothesis suggesting that excess rainfall collected on the surface occurs under certain conditions is known as ________ overland flow.,infiltration excess
Saturated overland flow occurs when the water table rises to the ________.,surface
The concept that only certain areas of a catchment contribute to overland flow is known as ________ areas.,variable source
The rapid movement of water from the subsurface to the stream is referred to as ________ flow.,translatory
The theory that explains groundwater contributions to stormflow is known as the ________ hypothesis.,capillary fringe
The term used to describe the water moving through the unsaturated zone is ________.,throughflow
The resistance to flow in a river channel is influenced by the ________ of the channel bed.,character
The major source of baseflow is typically ________.,groundwater
Floods are typically defined as an inundation of land adjacent to a river caused by a period of abnormally large ________.,discharge
Antecedent soil moisture significantly influences the size of a ________.,flood
Urbanization often increases the frequency and magnitude of ________.,floods
The removal of trees from a catchment area increases the propensity for a river to ________.,flood
The catastrophic flooding in Mozambique in 2000 was primarily caused by ________.,excessive rainfall
The fundamental task for any hydrologist involves measuring the volume of water flowing down a __________.,stream
The techniques and research into the measurement of streamflow are collectively known as __________.,hydrometry
The two important subsections of streamflow measurement are __________ and continuous techniques.,instantaneous
Streamflow or discharge is defined as a volume of water per unit of __________.,time
The standard units for measuring discharge are __________.,m³/s (cubic metres per second)
"In the velocity-area method, stream discharge is calculated by multiplying stream __________ by cross-sectional area.",velocity
The International Standard for the measurement of discharge in streams is referred to as __________.,ISO 748:2007
A good reach of the stream for measurement should be straight and uniform in bed and __________.,slope
The number of verticals in a cross-sectional area for discharge measurement depends on the __________ and smoothness of the stream bed.,width
A current meter is used to measure the __________ of the stream.,velocity
"When using a mechanical current meter, it is important that the meter points directly into the stream __________.",flow
The velocity-area method assumes that the velocity measurement is representative of all velocities throughout the __________.,cross-sectional area
"When there is no current meter, a rough estimate of stream velocity can be made using a __________.",float
The International Standard recommends that each velocity measurement should last for a minimum of __________ seconds.,30
The __________ Effect is utilized in ultrasonic flow measurement to determine river velocity.,Doppler
Electromagnetic current meters operate based on the principles of __________ induction.,electromagnetic
Ultrasonic flow measurement relies on measuring the difference in transit time of ultrasonic pulses propagating with and against __________ direction.,flow
"Continuous streamflow measurement can be derived from stage-discharge relationships, flumes, and __________.",weirs
The stage vs discharge relationship allows for continuous measurement of river __________.,stage
A __________ curve is established by connecting a series of flow measurements with corresponding river stage measurements.,rating
The measurement of stage has traditionally been done using a float and __________ system within a stilling well.,counterweight
One of the most important tasks in hydrology is to analyze __________ data.,streamflow
"Streamflow data are continuous records of discharge, frequently measured in permanent structures such as __________ and __________.",flumes; weirs
"The analysis of streamflow data provides three important features: description of a flow regime, potential for __________ between rivers, and prediction of possible future river flows.",comparison
"The three important methods of analyzing streamflow are hydrograph analysis, flow duration curves, and __________ analysis.",frequency
A hydrograph is a continuous record of stream or river __________.,discharge
Hydrograph separation distinguishes between __________ and __________ to calculate the amount of water resulting from a storm.,stormflow; baseflow
"The simplest form of hydrograph separation is to draw a straight, level line from the point where the hydrograph starts __________ until the stream discharge reaches the same level again.",rising
"The unit hydrograph concept was first put forward by Leroy Sherman, who defined it as the hydrograph of surface runoff resulting from effective rainfall falling in a unit of __________.",time
Effective rainfall is defined as the proportion of rainfall that actually drives the __________ response.,stormflow
A flow duration curve shows on the y-axis the flow and on the x-axis the percentage of __________ that the flow is equaled or exceeded.,time
"The 50 per cent value or 'Q50' represents the __________ flow, indicating that half the time flow in the river is higher than this value.",median
Flood frequency analysis is concerned with peak flows and normally records these separately to __________ mean flows.,daily
The annual probability of flooding (APF) is expressed as a __________.,percentage
The method of moments can be used to calculate flood frequency values based on the __________ distribution.,Gumbel
The term ‘black box model’ refers to a model that simulates streamflow as a direct relationship between it and another __________ variable.,measured
The Curve Number (CN) approach predicts runoff from rainfall by using a fundamental equation that accounts for initial __________.,abstractions
"The initial abstraction term (Ia) can be approximated as a percentage of the retention parameter (S) in the CN method, specifically as __________ of S.",0.2S
The __________ method uses hydraulic data to set water abstraction limits based on historical flow ranges.,historic flow
"The hydraulic method requires measurements of hydraulic data such as wetted perimeter, width, __________, and depth.",velocity
The habitat method uses actual measurements of stream health with changes in __________ regime to predict the impacts of flow changes.,flow
The different types of __________ that can be found in aquatic environments are identified in this chapter.,pollutants
Elevated levels of pollutants can have a significant impact on __________ ecology.,aquatic
The chapter describes the methods used to measure water quality __________.,parameters
"Hydrology traditionally focuses on water __________, but water quality is equally important.",quantity
Water quality issues are often linked to the amount of water available for __________ and dispersion of pollutants.,dilution
"Spatial variations in water quality can be influenced by environmental factors such as climate, geology, and __________ influences.",anthropogenic
Acid rain is a particular problem in northeastern North America and __________.,Scandinavia
The interlink between hydrological processes and water quality involves the transfer of pollutants from land into the __________ environment.,aquatic
A strong argument for studying water quality in hydrology is the employment of __________ who consider both quantity and quality.,hydrologists
Suspended __________ in a river can have severe implications for drinking water quality and ecological health.,sediment
"The main water quality parameters include temperature, pH, and __________ concentration.",dissolved oxygen
The __________ curve shows the relationship between stream velocity and the erosion/deposition characteristics for different sized particles.,Hjulstrom
Water pollution can be classified into point source and __________ pollutants.,diffuse
Toxic compounds in water can cause damage to biological activity in the __________ environment.,aquatic
The __________ of water is critical as it affects the dissolved oxygen content available for aquatic fauna.,temperature
Biochemical oxygen demand (BOD) is a measure of the oxygen required by bacteria to break down __________ matter.,organic
Eutrophication in water bodies is primarily caused by the addition of __________.,nutrients
"To control water quality, techniques like sewage treatment and the management of __________ practices are essential.",agricultural
Heavy metals in aquatic environments are often derived from industrial processes and surface runoff from __________.,roads
__________ analysis can provide a record of pollution by examining sediments at the bottom of rivers.,Sediment
The theory of evolution proposes that each species on the planet is changing over a long time period through __________ in order to adapt to its ecosystem fully.,natural selection
Economists argue that people and businesses need to adapt and change to stay __________ in a global economy.,competitive
The principle of __________ states that the present is the key to the past.,uniformitarianism
"By the end of the twenty-first century, people may be living in a different __________ from now.",climate
Hydrology has developed as a science through understanding change at different __________.,timescales
Water resource management needs to embrace sustainable development in its good __________.,practices
"Leisure activities like fishing and canoeing require clean, fully flowing __________.",rivers
Management of the water environment should maintain and enhance __________ values.,amenity
Almost all processes found in the hydrological cycle can be __________ in some way.,manipulated
Land use change has a huge importance for __________ management.,water resource
It is important that a legislative __________ is in place for consultation regarding land use.,framework
The changing world has been influenced by increasing population __________.,pressures
Change and uncertainty are key components for understanding the __________.,future
"Our knowledge of hydrological processes will improve, but the __________ will still be the same.",fundamentals
"The first broad topic of discussion is __________ resource management, particularly at the local scale.",water
The second topic dominating the research literature in natural sciences is __________ change.,climate
Groundwater depletion is a concern related to how we treat our __________.,environment
Urban hydrology is of great concern due to the ever-increasing urban __________.,population
Water resource management often implies a human __________.,dimension
The topic of water resource management can sometimes be difficult to __________.,define
Water is considered a resource because we __________ it.,need
